DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2000-0023-BGD,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009khm,,BGD,Bangladesh,Southern Asia,Asia,"Maheshkhali area (Cox's Bazar district, Chittagong province)",,,No,No,No,,4.3,Moment Magnitude,21.431,91.762,,2000,1,2,2000,1,2,,,1000,,1000,,,,,,,56.51429056,"[{""adm2_code"":5772,""adm2_name"":""Cox's Bazar""}]",2011-04-07,2023-09-25
2000-0033-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009m4u,,CHN,China,Eastern Asia,Asia,"Yongren Xian, Yao'an Xian, Nanhua Xian, Dayao Xian areas (Chuxiong Yi district, Yunnan Sheng province), Xiangyun Xian area (Dali Bai district, Yunnan Sheng province) ",,,Yes,No,No,765,5.9,Moment Magnitude,25.607,101.063,,2000,1,14,2000,1,14,7,2528,1760000,92479,1855007,,,,,73500,130056,56.51429056,"[{""adm2_code"":13307,""adm2_name"":""Chuxiong Yi""},{""adm2_code"":13312,""adm2_name"":""Dali Bai""}]",2003-09-09,2023-09-25
2000-0036-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009mq6,,CHN,China,Eastern Asia,Asia,"Mile Xian area (Honghe Hani and Yi district, Yunnan Sheng province), Qiubei Xian area (Wenshan Zhuang and Miao district, Yunnan Sheng province)",,,No,No,No,,4.9,Moment Magnitude,24.263,103.797,,2000,1,26,2000,1,26,1,2,10300,,10302,,,,,483,855,56.51429056,"[{""adm2_code"":13308,""adm2_name"":""Honghe Hani and Yi""},{""adm2_code"":13309,""adm2_name"":""Wenshan Zhuang and Miao""}]",2010-03-04,2023-09-25
2000-0041-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009m1j,,CHN,China,Eastern Asia,Asia,"Xiuyan Manzu Zizhixian area (Anshan district, Liaoning Sheng province)",,,No,No,No,,5.1,Moment Magnitude,40.498,122.994,,2000,1,11,2000,1,11,,30,44000,18000,62030,,,,,,,56.51429056,"[{""adm2_code"":13179,""adm2_name"":""Anshan""}]",2003-09-09,2023-09-25
2000-0051-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009mz6,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Kashmar, Bardeskan districts (Khorasan)",,,No,No,No,,5.3,Moment Magnitude,35.288,58.218,,2000,2,2,2000,2,2,1,15,1500,500,2015,,,,,,,56.51429056,"[{""adm2_code"":40901,""adm2_name"":""Bardeskan""},{""adm2_code"":40992,""adm2_name"":""Kashmar""}]",2014-03-07,2023-09-25
2000-0065-IRN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009ne8,,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Mohammadieh, Sarhozak, Hajiabad areas (Kashmar district, Khorasan province)",,,No,No,No,,4.9,Moment Magnitude,35.217,58.175,,2000,2,14,2000,2,14,,,1000,,1000,,,,,,,56.51429056,"[{""adm2_code"":40992,""adm2_name"":""Kashmar""}]",2003-07-01,2023-09-25
2000-0076-ISL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009ux8,,ISL,Iceland,Northern Europe,Europe,"Grimsnes, Selfoss, Eyrarbakki, Stokkseyri city (Arnes provinces)",,,No,No,No,,6.5,Moment Magnitude,63.98,-20.758,,2000,6,21,2000,6,21,,,72,36,108,,,,,12000,21234,56.51429056,"[{""adm1_code"":1460,""adm1_name"":""Arnes""}]",2008-05-08,2023-09-25
2000-0081-COL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a373,,COL,Colombia,Latin America and the Caribbean,Americas,Jurado island and Jurado districts (Choco province),,,No,No,No,,6.5,Moment Magnitude,7.042,-77.829,,2000,11,8,2000,11,8,2,,430,,430,,,,,,,56.51429056,"[{""adm2_code"":13795,""adm2_name"":""Jurado""},{""adm2_code"":13796,""adm2_name"":""Jurado (is.)""}]",2008-05-08,2023-09-25
2000-0111-MEX,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009y65,,MEX,Mexico,Latin America and the Caribbean,Americas,Lazaro Cardenas district (Michoacan province),,,No,No,No,,6.5,Moment Magnitude,18.198,-102.48,,2000,8,9,2000,8,9,,1,,,1,,,,,,,56.51429056,"[{""adm2_code"":20379,""adm2_name"":""Lazaro Cardenas""}]",2003-09-09,2023-09-25
2000-0230-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009sbh,,IDN,Indonesia,South-eastern Asia,Asia,"Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)",,Tsunami/Tidal wave,No,No,No,215,7.6,Moment Magnitude,-1.105,123.573,,2000,5,4,2000,5,4,45,270,,52500,52770,,,,,30000,53084,56.51429056,"[{""adm2_code"":73637,""adm2_name"":""Banggai Kepulauan""},{""adm2_code"":73638,""adm2_name"":""Banggai""}]",2005-07-09,2023-09-25
2000-0272-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009ska,,TUR,Türkiye,Western Asia,Asia,Poturge district (Malatya province),,,No,No,No,,4.5,Moment Magnitude,38.164,38.777,,2000,5,7,2000,5,7,1,,1000,,1000,,,,,,,56.51429056,"[{""adm2_code"":28104,""adm2_name"":""Poturge""}]",2003-09-09,2023-09-25
2000-0291-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009u3d,,TUR,Türkiye,Western Asia,Asia,"Cerkes, Orta districts (Cankiri province), Cubuk district (Ankara province)",,,No,No,No,,6,Moment Magnitude,40.693,32.992,,2000,6,6,2000,6,6,2,80,23000,,23080,,,,,,,56.51429056,"[{""adm2_code"":27517,""adm2_name"":""Cubuk""},{""adm2_code"":27694,""adm2_name"":""Cerkes""},{""adm2_code"":27701,""adm2_name"":""Orta""}]",2005-04-17,2023-09-25
2000-0293-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009txx,,IDN,Indonesia,South-eastern Asia,Asia,"Enggano island (Bengkulu Utara district, Bengkulu province)",,"Slide (land, mud, snow, rock)",Yes,No,No,5031,6.7,Moment Magnitude,-4.646,102.102,,2000,6,4,2000,6,4,103,2714,200000,2000,204714,,,,,41000,72548,56.51429056,"[{""adm2_code"":73654,""adm2_name"":""Bengkulu Utara""}]",2003-09-09,2023-09-25
2000-0298-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009u46,,CHN,China,Eastern Asia,Asia,"Lanzhou Shi area (Lanzhou district, Gansu Sheng province)",,,No,No,No,,5.6,Moment Magnitude,37.012,103.791,,2000,6,6,2000,6,6,,20,,80,100,,,,,,,56.51429056,"[{""adm2_code"":13014,""adm2_name"":""Lanzhou""}]",2003-09-09,2023-09-25
2000-0303-GRC,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009tg5,,GRC,Greece,Southern Europe,Europe,"Michalitsi, Mitikas (Artis District, Ipeiros province), Flampoura, Kanali, Pantokratos villages (Prevezis district, Ipeiros province)",,,No,No,No,,5.6,Moment Magnitude,38.922,20.64,,2000,5,26,2000,5,26,,,600,,600,,,,,,,56.51429056,"[{""adm2_code"":16692,""adm2_name"":""Artis""},{""adm2_code"":16694,""adm2_name"":""Prevezis""}]",2003-07-01,2023-09-25
2000-0335-ISL,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009urh,,ISL,Iceland,Northern Europe,Europe,Hella city (Rangarvalla province),,,No,No,No,,6.5,Moment Magnitude,63.966,-20.487,,2000,6,17,2000,6,17,,1,57,33,91,,,,,12000,21234,56.51429056,"[{""adm1_code"":1474,""adm1_name"":""Rangárvalla""}]",2003-09-09,2023-09-25
2000-0387-NIC,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009vy1,,NIC,Nicaragua,Latin America and the Caribbean,Americas,"Laguna de Apoyo nature reserve (Masaya district, Masaya province)",,,No,No,No,69,5.4,Moment Magnitude,11.884,-85.988,,2000,7,6,2000,7,6,7,42,1785,5650,7477,,,,,,,56.51429056,"[{""adm2_code"":22499,""adm2_name"":""Masaya""}]",2003-09-08,2023-09-25
2000-0428-JPN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009vhb,,JPN,Japan,Eastern Asia,Asia,"Koodusimamura, Niizimamura districts (Tookyoo province)",,,No,No,No,,6.1,Moment Magnitude,34.221,139.131,,2000,7,1,2000,7,1,1,,100,,100,,,,,,,56.51429056,"[{""adm2_code"":36308,""adm2_name"":""Koodusimamura""},{""adm2_code"":36323,""adm2_name"":""Niizimamura""}]",2003-09-08,2023-09-25
2000-0449-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009w9p,,IDN,Indonesia,South-eastern Asia,Asia,"Ciranggon village (Karawang district, Jawa Barat province)",,,No,No,No,,5.4,Moment Magnitude,-6.675,106.845,,2000,7,12,2000,7,12,,124,,4000,4124,,,,,2000,3539,56.51429056,"[{""adm2_code"":18014,""adm2_name"":""Karawang""}]",2005-04-17,2023-09-25
2000-0480-RUS,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009xws,,RUS,Russian Federation,Eastern Europe,Europe,Ougklegorsk region (Sakhalinskaya Oblast Province),,"Slide (land, mud, snow, rock)",No,No,No,,6.8,Moment Magnitude,48.786,142.246,,2000,8,4,2000,8,4,,8,,19100,19108,,,,,920,1628,56.51429056,"[{""adm1_code"":2552,""adm1_name"":""Sakhalinskaya Oblast""}]",2003-09-08,2023-09-25
2000-0527-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009yvr,,CHN,China,Eastern Asia,Asia,"Wuding Xian area (Chuxiong Yi district, Yunnan Sheng province)",,,No,No,No,,4.9,Moment Magnitude,25.826,102.194,,2000,8,21,2000,8,21,1,211,,177400,177611,,,,,43000,76087,56.51429056,"[{""adm2_code"":13307,""adm2_name"":""Chuxiong Yi""}]",2005-04-17,2023-09-25
2000-0598-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009zmm,,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",,,No,No,No,,4.9,Moment Magnitude,38.3788333,-122.4133333,,2000,9,3,2000,9,3,,70,25000,104,25174,,,,,50000,88473,56.51429056,"[{""adm2_code"":28892,""adm2_name"":""Napa""}]",2005-04-17,2023-09-25
2000-0653-TZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a14k,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,"Isale, Kipili, Kirando, Namanyere, Wampelembe, Kate areas (Nkasi district, Rukwa province)",,,No,No,No,,6.5,Moment Magnitude,-7.977,30.709,,2000,10,2,2000,10,2,1,6,750,35,791,,,,,,,56.51429056,"[{""adm2_code"":48474,""adm2_name"":""Nkasi""}]",2003-09-08,2023-09-25
2000-0656-JPN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a1b0,,JPN,Japan,Eastern Asia,Asia,"Aimityoo, Kisimototyoo, Mizokutityoo, Saihakutyoo, Daisentyoo, Nawatyoo, Nakayamatyoo, Hieduson districts (Tottori province), Simane, Okayama provinces",,"Slide (land, mud, snow, rock)",No,No,No,,6.7,Moment Magnitude,35.456,133.134,,2000,10,6,2000,10,6,,130,6690,312,7132,,,150000,265420,500000,884732,56.51429056,"[{""adm1_code"":1680,""adm1_name"":""Okayama""},{""adm1_code"":1686,""adm1_name"":""Simane""},{""adm2_code"":36345,""adm2_name"":""Aimityoo""},{""adm2_code"":36349,""adm2_name"":""Daisentyoo""},{""adm2_code"":36352,""adm2_name"":""Hieduson""},{""adm2_code"":36360,""adm2_name"":""Kisimototyoo""},{""adm2_code"":36366,""adm2_name"":""Mizokutityoo""},{""adm2_code"":36368,""adm2_name"":""Nakayamatyoo""},{""adm2_code"":36369,""adm2_name"":""Nawatyoo""},{""adm2_code"":36371,""adm2_name"":""Saihakutyoo""}]",2011-04-27,2023-09-25
2000-0743-TJK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a2se,,TJK,Tajikistan,Central Asia,Asia,"Khasanov village (Parharskiy district, Khatlon province)",,,Yes,No,No,,4.8,Moment Magnitude,37.451,69.498,,2000,10,30,2000,10,30,,,6000,,6000,,,,,,,56.51429056,"[{""adm2_code"":37595,""adm2_name"":""Parharskiy""}]",2003-09-08,2023-09-25
2000-0749-PNG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a3qq,,PNG,Papua New Guinea,Melanesia,Oceania,"Duke of York island (Kokopo district, East New Britain province), New Ireland, Northern Solomons provinces",,Tsunami/Tidal wave,No,No,No,,8,Moment Magnitude,-3.98,152.169,,2000,11,16,2000,11,16,2,,,5000,5000,,,,,,,56.51429056,"[{""adm1_code"":2302,""adm1_name"":""New Ireland""},{""adm1_code"":2304,""adm1_name"":""Northern Solomons""},{""adm2_code"":37482,""adm2_name"":""Kokopo""}]",2014-02-25,2023-09-25
2000-0761-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a2ck,,IDN,Indonesia,South-eastern Asia,Asia,"Pandeglang, Lebak, Serang districts (Banten province)",,,No,No,No,,6.8,Moment Magnitude,-6.549,105.63,,2000,10,25,2000,10,25,,,5500,,5500,,,,,,,56.51429056,"[{""adm2_code"":18020,""adm2_name"":""Lebak""},{""adm2_code"":18022,""adm2_name"":""Pandeglang""},{""adm2_code"":18024,""adm2_name"":""Serang""}]",2003-09-08,2023-09-25
2000-0762-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009u6r,,IDN,Indonesia,South-eastern Asia,Asia,Lahat district (Sumatera Selatan province),,,No,No,No,,6.7,Moment Magnitude,-4.612,101.905,,2000,6,7,2000,6,7,1,,3000,,3000,,,,,,,56.51429056,"[{""adm2_code"":73769,""adm2_name"":""Lahat""}]",2014-02-25,2023-09-25
2000-0769-AZE,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a4xu,,AZE,Azerbaijan,Western Asia,Asia,"Absheron, Baku, Sumgayit districts (Absheron province)",,,No,No,No,341,6.8,Moment Magnitude,40.245,49.946,,2000,11,25,2000,11,25,31,600,2694,,3294,,,,,10000,17695,56.51429056,"[{""adm2_code"":493,""adm2_name"":""Absheron""},{""adm2_code"":495,""adm2_name"":""Baku""},{""adm2_code"":552,""adm2_name"":""Sumgayit""}]",2003-09-08,2023-09-25
2000-0810-TKM,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a5m7,,TKM,Turkmenistan,Central Asia,Asia,Balkan province,,,No,No,No,,7,Moment Magnitude,39.566,54.799,,2000,12,6,2000,12,6,11,,,,,,,,,,,56.51429056,"[{""adm1_code"":147322,""adm1_name"":""Balkan""}]",2003-09-08,2023-09-25
2001-0005-TZA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp0009s0v,,TZA,United Republic of Tanzania,Sub-Saharan Africa,Africa,Rungwe district (Mbeya province),,,No,No,No,,4.3,Moment Magnitude,-9.278,33.766,,2001,1,5,2001,1,5,,,,700,700,,,,,,,58.11147437,"[{""adm2_code"":48442,""adm2_name"":""Rungwe""}]",2011-04-07,2023-09-25
2001-0013-SLV,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a7m5,,SLV,El Salvador,Latin America and the Caribbean,Americas,"Berlin, Alegria, Tecapan, Santiago de Maria districts (Usulutan province), Santa Tecla, Comasagua districts (La Libertad province) ; San Miguel, Santa Ana, Sonsonate, Cuscatlan, San Vicente, La Union, Ahuachapan, Cabanas, Morazan, Chalatenango, La Paz, La Libertad, San Salvador, Usulutan provinces",,"Slide (land, mud, snow, rock)",Yes,Yes,No,,7.7,Moment Magnitude,13.049,-88.66,,2001,1,13,2001,1,13,844,4723,1329806,,1334529,,,290000,499041,1500000,2581246,58.11147437,"[{""adm1_code"":1184,""adm1_name"":""Ahuachapan""},{""adm1_code"":1185,""adm1_name"":""Cabanas""},{""adm1_code"":1186,""adm1_name"":""Chalatenango""},{""adm1_code"":1187,""adm1_name"":""Cuscatlan""},{""adm1_code"":1188,""adm1_name"":""La Libertad""},{""adm1_code"":1189,""adm1_name"":""La Paz""},{""adm1_code"":1190,""adm1_name"":""La Union""},{""adm1_code"":1191,""adm1_name"":""Morazan""},{""adm1_code"":1192,""adm1_name"":""San Miguel""},{""adm1_code"":1193,""adm1_name"":""San Salvador""},{""adm1_code"":1194,""adm1_name"":""San Vicente""},{""adm1_code"":1195,""adm1_name"":""Santa Ana""},{""adm1_code"":1196,""adm1_name"":""Sonsonate""},{""adm1_code"":1197,""adm1_name"":""Usulutan""}]",2014-02-26,2023-09-25
2001-0023-GTM,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a7m5,,GTM,Guatemala,Latin America and the Caribbean,Americas,Jutapia province,,,No,No,No,,7.7,Moment Magnitude,13.049,-88.66,,2001,1,13,2001,1,13,6,2,150,,152,,,,,50,86,58.11147437,"[{""adm1_code"":64842,""adm1_name"":""Jutiapa""}]",2003-09-08,2023-09-25
2001-0033-IND,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a8ds,,IND,India,Southern Asia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",,,Yes,No,No,118929,7.7,Moment Magnitude,23.419,70.232,,2001,1,26,2001,1,26,20005,166812,4365000,1790000,6321812,,,100000,172083,2623000,4513739,58.11147437,"[{""adm2_code"":17635,""adm2_name"":""Ahmadabad""},{""adm2_code"":17636,""adm2_name"":""Amreli""},{""adm2_code"":17637,""adm2_name"":""Banas Kantha""},{""adm2_code"":17638,""adm2_name"":""Bharuch""},{""adm2_code"":17639,""adm2_name"":""Bhavnagar""},{""adm2_code"":17640,""adm2_name"":""Gandhinagar""},{""adm2_code"":17641,""adm2_name"":""Jamnagar""},{""adm2_code"":17642,""adm2_name"":""Junagadh""},{""adm2_code"":17643,""adm2_name"":""Kachchh""},{""adm2_code"":17644,""adm2_name"":""Kheda""},{""adm2_code"":17645,""adm2_name"":""Mahesana""},{""adm2_code"":17647,""adm2_name"":""Rajkot""},{""adm2_code"":17648,""adm2_name"":""Sabar Kantha""},{""adm2_code"":17649,""adm2_name"":""Surat""},{""adm2_code"":17650,""adm2_name"":""Surendranagar""},{""adm2_code"":17652,""adm2_name"":""Vadodara""},{""adm2_code"":70124,""adm2_name"":""Anand""},{""adm2_code"":70125,""adm2_name"":""Dahod""},{""adm2_code"":70127,""adm2_name"":""Navsari""},{""adm2_code"":70129,""adm2_name"":""Patan""},{""adm2_code"":70130,""adm2_name"":""Porbandar""}]",2014-04-04,2023-09-25
2001-0033-PAK,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a8ds,,PAK,Pakistan,Southern Asia,Asia,"Badin District, Tharparkar District, Mirpur Khas District districts (Sindh province)",,,Yes,No,No,215,7.7,Moment Magnitude,23.419,70.232,,2001,1,26,2001,1,26,12,100,914192,,914292,,,,,500,860,58.11147437,"[{""adm2_code"":23681,""adm2_name"":""Badin District""},{""adm2_code"":40399,""adm2_name"":""Mirpur Khas District""},{""adm2_code"":40405,""adm2_name"":""Tharparkar District""}]",2014-04-04,2023-09-25
2001-0042-SLV,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000a9jv,,SLV,El Salvador,Latin America and the Caribbean,Americas,"La Paz, Cuscatlan, San Vicente, San Salvador, Morazan, La Libertad provinces ; San Juan Tepezontes district (La Paz province), Cojutepeque district (Cuscatlan province)",,"Slide (land, mud, snow, rock)",Yes,No,No,,6.6,Moment Magnitude,13.671,-88.938,,2001,2,13,2001,2,13,315,3399,252622,,256021,,,,,348500,599709,58.11147437,"[{""adm1_code"":1187,""adm1_name"":""Cuscatlan""},{""adm1_code"":1188,""adm1_name"":""La Libertad""},{""adm1_code"":1189,""adm1_name"":""La Paz""},{""adm1_code"":1191,""adm1_name"":""Morazan""},{""adm1_code"":1193,""adm1_name"":""San Salvador""},{""adm1_code"":1194,""adm1_name"":""San Vicente""}]",2014-02-26,2023-09-25
2001-0064-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000aa5p,,CHN,China,Eastern Asia,Asia,"Yajiang Xian, Kangding Xian areas (Garze Tibetan district, Sichuan Sheng province)",,,Yes,No,No,,5.6,Moment Magnitude,29.513,101.129,,2001,2,23,2001,2,23,3,109,,300000,300109,,,,,24000,41300,58.11147437,"[{""adm2_code"":13271,""adm2_name"":""Garzê Tibetan""}]",2003-09-05,2023-09-25
2001-0086-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000aaae,,AFG,Afghanistan,Southern Asia,Asia,Fayzabad district (Badakhshan province),,,No,No,No,,6.2,Moment Magnitude,36.424,70.881,,2001,2,25,2001,2,25,,,,,,,,,,,,58.11147437,"[{""adm2_code"":100007,""adm2_name"":""Fayzabad""}]",2003-07-01,2023-09-25
2001-0099-USA,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:uw10530748,,USA,United States of America,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",,,No,No,No,,6.8,Moment Magnitude,47.149,-122.7266667,,2001,2,28,2001,2,28,1,400,,,400,,,305000,524853,2000000,3441661,58.11147437,"[{""adm2_code"":31646,""adm2_name"":""King""},{""adm2_code"":31656,""adm2_name"":""Pierce""},{""adm2_code"":31663,""adm2_name"":""Thurston""}]",2003-09-05,2023-09-25
2001-0123-JPN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000abyg,,JPN,Japan,Eastern Asia,Asia,"Hirosima, Ehime provinces",,,No,No,No,,6.8,Moment Magnitude,34.083,132.526,,2001,3,24,2001,3,24,2,161,11100,,11261,,,128000,220266,500000,860415,58.11147437,"[{""adm1_code"":1654,""adm1_name"":""Ehime""},{""adm1_code"":1660,""adm1_name"":""Hirosima""}]",2014-02-26,2023-09-25
2001-0151-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ad3a,,CHN,China,Eastern Asia,Asia,"Shidian area (Baoshan district, Yunnan Sheng province)",,"Slide (land, mud, snow, rock)",No,No,No,,5.6,Moment Magnitude,24.768,99.061,,2001,4,12,2001,4,12,2,190,150000,,150190,,,,,31000,53346,58.11147437,"[{""adm2_code"":13313,""adm2_name"":""Baoshan""}]",2003-09-05,2023-09-25
2001-0214-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000afdp,,CHN,China,Eastern Asia,Asia,"Ninglang Yi Zizhixian area (Lijiang district, Yunnan Sheng province), Yanyuan Xian area (Liangshan Yi district, Sichuan Sheng province)",,,No,No,No,,5.5,Moment Magnitude,27.689,101.003,,2001,5,23,2001,5,23,2,605,,10000,10605,,,,,36000,61950,58.11147437,"[{""adm2_code"":13272,""adm2_name"":""Liangshan Yi""},{""adm2_code"":13315,""adm2_name"":""Lijiang""}]",2003-09-05,2023-09-25
2001-0233-AFG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000afvt,,AFG,Afghanistan,Southern Asia,Asia,"Panjsher, Parwan, Kapisa provinces",,,No,No,No,,5,Moment Magnitude,35.169,69.389,,2001,6,1,2001,6,1,4,20,,250,270,,,,,,,58.11147437,"[{""adm1_code"":286,""adm1_name"":""Kapisa""},{""adm1_code"":99879,""adm1_name"":""Panjsher""},{""adm1_code"":99880,""adm1_name"":""Parwan""}]",2004-03-23,2023-09-25
2001-0294-PER,No,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,USGS:usp000ah4q,,PER,Peru,Latin America and the Caribbean,Americas,"Arequipa, Moquegua, Tacna, Ayacucho provinces",,Tsunami/Tidal wave,Yes,No,No,20777,8.4,Moment Magnitude,-16.265,-73.641,,2001,6,23,2001,6,23,145,2713,222400,124865,349978,,,50000,86042,300000,516249,58.11147437,"[{""adm1_code"":2331,""adm1_name"":""Arequipa""},{""adm1_code"":2332,""adm1_name"":""Ayacucho""},{""adm1_code"":2345,""adm1_name"":""Moquegua""},{""adm1_code"":2350,""adm1_name"":""Tacna""}]",2003-09-05,2023-09-25
2001-0345-PNG,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ag32,,PNG,Papua New Guinea,Melanesia,Oceania,Mumeng district (Morobe province),,"Slide (land, mud, snow, rock)",No,No,No,,6.4,Moment Magnitude,-6.884,146.388,,2001,6,5,2001,6,5,,1,,200,201,,,,,,,58.11147437,"[{""adm2_code"":37525,""adm2_name"":""Mumeng""}]",2008-05-08,2023-09-25
2001-0358-TUR,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ahe3,,TUR,Türkiye,Western Asia,Asia,Osmaniye province,,,No,No,No,,5.5,Moment Magnitude,37.238,36.206,,2001,6,25,2001,6,25,,130,350,,480,,,,,,,58.11147437,"[{""adm1_code"":3079,""adm1_name"":""Osmaniye""}]",2003-07-01,2023-09-25
2001-0389-CHN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ajhn,,CHN,China,Eastern Asia,Asia,"Donghua village (Yongsheng Xian area, Lijiang district, Yunnan Sheng province)",,,No,No,No,,4.6,Moment Magnitude,24.455,102.66,,2001,7,14,2001,7,14,,,25000,,25000,,,,,,,58.11147437,"[{""adm2_code"":13315,""adm2_name"":""Lijiang""}]",2003-09-05,2023-09-25
2001-0546-IDN,No,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USGS:usp000ahm8,,IDN,Indonesia,South-eastern Asia,Asia,Jawa Barat province,,,No,No,No,,5,Moment Magnitude,-6.99,108.275,,2001,6,28,2001,6,28,,12,12500,,12512,,,,,,,58.11147437,"[{""adm1_code"":73613,""adm1_name"":""Jawa Barat""}]",2008-05-08,2023-09-25
